DATE,HOUR,TEMPC
2014-01-01,0,1.0950613105045583
2014-01-01,1,4.825945941769488
2014-01-01,2,12.240134618372226
2014-01-01,3,6.927714019735264
2014-01-01,4,7.933694783770129
2014-01-01,5,7.136823278551664
2014-01-01,6,0.0742803209809968
2014-01-01,7,-2.439950595767128
2014-01-01,8,2.980522484251983
2014-01-01,9,0.7819298683569231
2014-01-01,10,0.8681633273426459
2014-01-01,11,-3.4198575780430804
2014-01-01,12,-0.7360460078990124
2014-01-01,13,1.0067467103372691
2014-01-01,14,10.72599558546322
2014-01-01,15,9.357656103773866
2014-01-01,16,18.028124269687808
2014-01-01,17,13.585565716563124
2014-01-01,18,19.737013406403943
2014-01-01,19,18.876554198923927
2014-01-01,20,19.61156471435637
2014-01-01,21,22.161827256691
2014-01-01,22,14.121715545587852
2014-01-01,23,17.307140902170744
2014-01-02,0,20.562877014089047
2014-01-02,1,11.288221322081888
2014-01-02,2,9.693945141632485
2014-01-02,3,5.729044904530214
2014-01-02,4,6.6982029729714965
2014-01-02,5,-3.5735437409801616
2014-01-02,6,0.2863399062845963
2014-01-02,7,0.2248620916529282
2014-01-02,8,1.1280450548937326
2014-01-02,9,-2.136168261348645
2014-01-02,10,-5.337923763945092
2014-01-02,11,-3.935216603405416
2014-01-02,12,-3.1888213459581256
2014-01-02,13,-1.9495342452433784
2014-01-02,14,-2.6750677628209627
2014-01-02,15,0.0848352336023212
2014-01-02,16,1.5678468523034566
2014-01-02,17,-5.856442147992548
2014-01-02,18,0.0837911925013319
2014-01-02,19,8.129889129261779
2014-01-02,20,4.909059252139889
2014-01-02,21,6.12696920994835
2014-01-02,22,2.0687539261828185
2014-01-02,23,4.0804146973911415
2014-01-03,0,3.19571061125552
2014-01-03,1,3.080828177630127
2014-01-03,2,3.465639411517089
2014-01-03,3,2.6742701897451555
2014-01-03,4,2.8715259580543453
2014-01-03,5,3.918519824239573
2014-01-03,6,1.7592468337830949
2014-01-03,7,2.4377368798225385
2014-01-03,8,-1.1375929425853804
2014-01-03,9,-4.267075420951838
2014-01-03,10,0.5807376481779878
2014-01-03,11,-1.6742304019847052
2014-01-03,12,-3.1534342083809266
2014-01-03,13,-2.700719806969893
2014-01-03,14,-0.1302753425765402
2014-01-03,15,4.574353056247976
2014-01-03,16,6.728718392669102
2014-01-03,17,8.200626858739316
2014-01-03,18,5.948712461270517
2014-01-03,19,9.188575904667056
2014-01-03,20,14.485543218148791
2014-01-03,21,5.075669363207581
2014-01-03,22,7.917295655489227
2014-01-03,23,9.16770502058572
2014-01-04,0,5.52393812280099
2014-01-04,1,9.981002925367203
2014-01-04,2,12.72111892626207
2014-01-04,3,7.603873064424317
2014-01-04,4,5.716095287149773
2014-01-04,5,0.9044115116117571
2014-01-04,6,4.86403423841706
2014-01-04,7,9.889410766345318
2014-01-04,8,7.880616360395832
2014-01-04,9,6.759228664672397
2014-01-04,10,10.701957455633623
2014-01-04,11,0.9248432215292056
2014-01-04,12,3.0443067691203094
2014-01-04,13,6.902806248429488
2014-01-04,14,8.832472586546379
2014-01-04,15,9.786488647434222
2014-01-04,16,12.710104476813347
2014-01-04,17,16.218164873511974
2014-01-04,18,16.228941359907687
2014-01-04,19,18.740799074590864
2014-01-04,20,23.068104912443395
2014-01-04,21,17.769637738621086
2014-01-04,22,20.52093145591756
2014-01-04,23,15.890572343236515
2014-01-05,0,13.335177026304958
2014-01-05,1,14.389951340908404
2014-01-05,2,17.381266299603233
2014-01-05,3,17.674999825811184
2014-01-05,4,15.267900860731237
2014-01-05,5,13.1297858200051
2014-01-05,6,12.1713196147075
2014-01-05,7,6.917515950864301
2014-01-05,8,0.4394388415619857
2014-01-05,9,1.6371148291460234
2014-01-05,10,0.7918450370523316
2014-01-05,11,0.0619347889102531
2014-01-05,12,-1.7672592263540725
2014-01-05,13,-2.155873505098988
2014-01-05,14,-2.056390635709803
2014-01-05,15,1.3084107932538775
2014-01-05,16,-3.074442491522361
2014-01-05,17,1.1967968622951712
2014-01-05,18,5.961869768613948
2014-01-05,19,-0.5732270148891789
2014-01-05,20,5.562308594205262
2014-01-05,21,6.394540250954084
2014-01-05,22,4.4723596170940185
2014-01-05,23,5.712904846149732
2014-01-06,0,-2.273786732494078
2014-01-06,1,1.3483640104514938
2014-01-06,2,-1.1812997033278076
2014-01-06,3,-7.333535938937507
2014-01-06,4,-4.43024062259559
2014-01-06,5,-14.621328048746353
2014-01-06,6,-10.761983191229268
2014-01-06,7,-9.449617700213482
2014-01-06,8,-8.263833380340644
2014-01-06,9,-9.05965528549623
2014-01-06,10,-11.998121520109567
2014-01-06,11,-6.588516261870039
2014-01-06,12,-10.708717995737146
2014-01-06,13,-4.242180913676425
2014-01-06,14,-6.981873332231307
2014-01-06,15,-10.567082329781076
2014-01-06,16,-9.39790630863925
2014-01-06,17,-2.813441240983161
2014-01-06,18,-0.909638070077002
2014-01-06,19,-3.3471743936938703
2014-01-06,20,-1.897680560514432
2014-01-06,21,0.5212891144283784
2014-01-06,22,-0.5943379219167486
2014-01-06,23,-3.970125203240819
2014-01-07,0,-1.4887035453787127
2014-01-07,1,-10.942930179757594
2014-01-07,2,-4.9827911330172245
2014-01-07,3,-3.4646163320819063
2014-01-07,4,-3.629919355417572
2014-01-07,5,-6.031968494284345
2014-01-07,6,-7.0516482581802205
2014-01-07,7,-8.060598543062838
2014-01-07,8,-3.1141737640960403
2014-01-07,9,-7.825901618673778
2014-01-07,10,-1.7352680727180865
2014-01-07,11,-8.275273934857296
2014-01-07,12,-4.320933570661529
2014-01-07,13,-8.515911079265837
2014-01-07,14,-0.7725800786440769
2014-01-07,15,0.4849016534650946
2014-01-07,16,4.009583435717837
2014-01-07,17,4.747026693382897
2014-01-07,18,9.283758627173924
2014-01-07,19,3.881921729315372
2014-01-07,20,10.9150058444047
2014-01-07,21,9.795487540936143
2014-01-07,22,8.422874677781714
2014-01-07,23,9.596529633985057
2014-01-08,0,7.013809598716103
2014-01-08,1,4.297267265681088
2014-01-08,2,3.994762077559381
2014-01-08,3,1.2641989701081306
2014-01-08,4,1.4115972627861495
2014-01-08,5,3.3066970740197137
2014-01-08,6,7.874006435550626
2014-01-08,7,5.070024442224288
2014-01-08,8,6.399391354532307
2014-01-08,9,6.683816056089247
2014-01-08,10,-0.973131448065404
2014-01-08,11,4.405031737972491
2014-01-08,12,2.586828288362924
2014-01-08,13,2.647741136225336
2014-01-08,14,3.4657208686389502
2014-01-08,15,4.641381199441964
2014-01-08,16,8.215506731283558
2014-01-08,17,4.649466836410264
2014-01-08,18,4.7423869107819865
2014-01-08,19,9.568483301406538
2014-01-08,20,9.717044929548804
2014-01-08,21,8.688690956299459
2014-01-08,22,10.421199678052725
2014-01-08,23,6.930532378336777
2014-01-09,0,7.892993898113158
2014-01-09,1,11.037021109633027
2014-01-09,2,8.06915054321435
2014-01-09,3,6.406956497425673
2014-01-09,4,8.976171771134242
2014-01-09,5,9.420475590504791
2014-01-09,6,10.178365345408364
2014-01-09,7,12.255631071382716
2014-01-09,8,6.886838099433797
2014-01-09,9,10.114809850122128
2014-01-09,10,6.978124834166684
2014-01-09,11,3.4444178032533603
2014-01-09,12,3.2768063524511946
2014-01-09,13,2.754800621063756
2014-01-09,14,5.63155444212622
2014-01-09,15,9.231659971673762
2014-01-09,16,7.298450339477779
2014-01-09,17,8.323916168044619
2014-01-09,18,10.329573682963757
2014-01-09,19,6.199628596601884
2014-01-09,20,0.1908549483434063
2014-01-09,21,10.890899973511292
2014-01-09,22,7.740455241257224
2014-01-09,23,9.370281797674735
2014-01-10,0,3.3390302968964423
2014-01-10,1,1.6273220421502508
2014-01-10,2,10.139005949411509
2014-01-10,3,7.117323131716829
2014-01-10,4,11.199997312922624
2014-01-10,5,13.712562257016463
2014-01-10,6,4.5240203821716864
2014-01-10,7,9.450927492582132
2014-01-10,8,9.806856396708865
2014-01-10,9,12.163033211362372
2014-01-10,10,12.49357286195326
2014-01-10,11,14.427640964985368
2014-01-10,12,13.01573156236702
2014-01-10,13,15.453306040870933
2014-01-10,14,17.03447836653226
2014-01-10,15,16.098604983596598
2014-01-10,16,15.564020206380274
2014-01-10,17,16.663927278371492
2014-01-10,18,17.43739681672056
2014-01-10,19,18.519978929450343
2014-01-10,20,17.987119428092328
2014-01-10,21,24.423879386235804
2014-01-10,22,20.424553809561075
2014-01-10,23,17.813373527056996
2014-01-11,0,15.885014244534933
2014-01-11,1,13.8505068376393
2014-01-11,2,13.268968650242083
2014-01-11,3,5.949311031157651
2014-01-11,4,12.607278159360725
2014-01-11,5,3.6763750683980088
2014-01-11,6,11.402447619806033
2014-01-11,7,8.77343884655958
2014-01-11,8,6.644041073772013
2014-01-11,9,10.512227509356672
2014-01-11,10,11.890356447380109
2014-01-11,11,10.686415069289444
2014-01-11,12,6.3106664197815725
2014-01-11,13,7.510286132151079
2014-01-11,14,9.2551118108514
2014-01-11,15,15.651057149672186
2014-01-11,16,17.412430466355154
2014-01-11,17,14.814112957881784
2014-01-11,18,20.328805274312693
2014-01-11,19,18.48626507605957
2014-01-11,20,15.514553610846598
2014-01-11,21,22.176494067708788
2014-01-11,22,21.57707851645757
2014-01-11,23,12.973690561088691
2014-01-12,0,8.643389286768082
2014-01-12,1,14.60842298085635
2014-01-12,2,9.82376196722798
2014-01-12,3,7.231540300534602
2014-01-12,4,5.566109836400671
2014-01-12,5,3.6710164031143497
2014-01-12,6,6.931266690507648
2014-01-12,7,6.384104613795407
2014-01-12,8,9.355641986867996
2014-01-12,9,12.082226615808446
2014-01-12,10,7.140585100222325
2014-01-12,11,7.620876393622974
2014-01-12,12,5.882045984641199
2014-01-12,13,10.659634546746926
2014-01-12,14,12.162459208602051
2014-01-12,15,18.11228926360393
2014-01-12,16,17.11118085909756
2014-01-12,17,19.059342741328987
2014-01-12,18,22.15853923525273
2014-01-12,19,18.070592214632907
2014-01-12,20,25.52161339830892
2014-01-12,21,20.701812391529177
2014-01-12,22,18.711592946695497
2014-01-12,23,22.01758695889957
2014-01-13,0,17.43064872538302
2014-01-13,1,15.799509841499152
2014-01-13,2,23.25672755169372
2014-01-13,3,9.28861456599467
2014-01-13,4,19.70612075281712
2014-01-13,5,13.695140231201735
2014-01-13,6,17.219414262959766
2014-01-13,7,14.515631533594828
2014-01-13,8,14.6634539630938
2014-01-13,9,15.7768289588496
2014-01-13,10,8.958936013213401
2014-01-13,11,12.076733138320416
2014-01-13,12,12.296569675376931
2014-01-13,13,9.702474913969732
2014-01-13,14,11.271417479461302
2014-01-13,15,14.781015424521527
2014-01-13,16,13.976855816970277
2014-01-13,17,14.459786617377274
2014-01-13,18,17.45272956131453
2014-01-13,19,18.26329117972981
2014-01-13,20,14.226836422237866
2014-01-13,21,15.992187387919849
2014-01-13,22,15.21376119482691
2014-01-13,23,13.780067269759662
2014-01-14,0,13.31107682849344
2014-01-14,1,8.265925637706271
2014-01-14,2,12.92939146104132
2014-01-14,3,9.226454115171292
2014-01-14,4,7.830971802484419
2014-01-14,5,2.433033782676924
2014-01-14,6,3.121510296896002
2014-01-14,7,2.005805864195184
2014-01-14,8,1.9111058282422728
2014-01-14,9,3.180865527731432
2014-01-14,10,7.811296881528397
2014-01-14,11,4.967570040370231
2014-01-14,12,-0.6682569717705733
2014-01-14,13,3.0479561683225134
2014-01-14,14,6.104887708361057
2014-01-14,15,10.549624319070604
2014-01-14,16,14.043643555000289
2014-01-14,17,17.259610409448825
2014-01-14,18,15.016761403304224
2014-01-14,19,15.532940111932565
2014-01-14,20,15.977720854457884
2014-01-14,21,18.519981805789865
2014-01-14,22,15.165554575267668
2014-01-14,23,14.367925425070922
2014-01-15,0,10.257957070607308
2014-01-15,1,10.982675899071356
2014-01-15,2,4.457174688101403
2014-01-15,3,6.783891482314048
2014-01-15,4,7.172151708192973
2014-01-15,5,5.252538053664982
2014-01-15,6,2.7317181972329347
2014-01-15,7,7.978582334244707
2014-01-15,8,4.947047415730824
2014-01-15,9,5.498298749260906
2014-01-15,10,1.1224169566534532
2014-01-15,11,7.686147930046035
2014-01-15,12,0.4507228940189341
2014-01-15,13,2.8427540332869268
2014-01-15,14,2.7003601543438784
2014-01-15,15,7.978322339984728
2014-01-15,16,11.121421833919609
2014-01-15,17,6.607744146825344
2014-01-15,18,14.559006292292066
2014-01-15,19,11.467194498863895
