DATE,HOUR,TEMPC
2018-12-18,0,10.066639315705864
2018-12-18,1,8.888579330394666
2018-12-18,2,5.660421193773856
2018-12-18,3,12.15517269626761
2018-12-18,4,5.766903823704343
2018-12-18,5,7.606734143365796
2018-12-18,6,6.358566424814907
2018-12-18,7,7.630364325906122
2018-12-18,8,5.616342337796231
2018-12-18,9,2.269131638878944
2018-12-18,10,8.230869211020517
2018-12-18,11,3.5962060577411146
2018-12-18,12,6.423071437639242
2018-12-18,13,3.8084490099962776
2018-12-18,14,8.729235791552844
2018-12-18,15,11.399127727061297
2018-12-18,16,7.865288895498238
2018-12-18,17,14.141120560964351
2018-12-18,18,16.468096863779856
2018-12-18,19,18.22877555389724
2018-12-18,20,14.999591076515324
2018-12-18,21,20.294820893658468
2018-12-18,22,11.727431126060502
2018-12-18,23,9.577125207958591
2018-12-19,0,6.831114592934103
2018-12-19,1,13.975134073151397
2018-12-19,2,11.243722122419006
2018-12-19,3,9.630357813726103
2018-12-19,4,10.25925790964852
2018-12-19,5,8.968765567261393
2018-12-19,6,10.256414400346424
2018-12-19,7,8.230084293365262
2018-12-19,8,4.19391281232608
2018-12-19,9,7.293298598552061
2018-12-19,10,8.775060610028934
2018-12-19,11,11.444447322149966
2018-12-19,12,10.7386469351518
2018-12-19,13,11.994118397245062
2018-12-19,14,8.244180852003925
2018-12-19,15,11.6608291965231
2018-12-19,16,10.571099613102694
2018-12-19,17,8.735761946242281
2018-12-19,18,15.486300926128411
2018-12-19,19,12.077324109242484
2018-12-19,20,19.157467341479567
2018-12-19,21,14.600669155910618
2018-12-19,22,17.303642068137325
2018-12-19,23,15.033386398496424
2018-12-20,0,13.035282509828589
2018-12-20,1,7.698301779824018
2018-12-20,2,7.732636837291451
2018-12-20,3,15.852527629108586
2018-12-20,4,13.674613166368038
2018-12-20,5,8.270651584318014
2018-12-20,6,10.184904937138
2018-12-20,7,11.920355766598243
2018-12-20,8,11.997165392109972
2018-12-20,9,14.417725115654829
2018-12-20,10,11.856573436740256
2018-12-20,11,3.342323642311417
2018-12-20,12,5.612732899449078
2018-12-20,13,10.736484008275012
2018-12-20,14,7.802500826866384
2018-12-20,15,7.733956507113454
2018-12-20,16,12.420437735573952
2018-12-20,17,17.099762086413357
2018-12-20,18,14.155899779391117
2018-12-20,19,10.992152505913923
2018-12-20,20,11.974460980831962
2018-12-20,21,12.805882113279472
2018-12-20,22,12.035842544863868
2018-12-20,23,11.994211694115297
2018-12-21,0,12.67520206818483
2018-12-21,1,16.110515293241075
2018-12-21,2,13.325069354783452
2018-12-21,3,10.094651211087877
2018-12-21,4,13.55651442776078
2018-12-21,5,8.27987631973571
2018-12-21,6,6.384949791592269
2018-12-21,7,9.693070310431173
2018-12-21,8,4.865914860712646
2018-12-21,9,5.482383604789578
2018-12-21,10,8.341163590562001
2018-12-21,11,1.792573957273171
2018-12-21,12,4.8452372680270495
2018-12-21,13,6.072842039418704
2018-12-21,14,6.121599249864169
2018-12-21,15,10.083116359591642
2018-12-21,16,6.8613058441331445
2018-12-21,17,13.241897126349704
2018-12-21,18,15.126924007002486
2018-12-21,19,16.54581474872297
2018-12-21,20,13.49225064969242
2018-12-21,21,15.765056992442489
2018-12-21,22,10.269213336776517
2018-12-21,23,14.04945624276444
